subject,course_name,platform,language,url
Artificial Intelligence,,,,https://www.classcentral.com/classroom/youtube-clients-industry-drupal-dxp-meets-ai-unlocking-the-full-potential-of-digital-experiences-335151
Mathematical logic,Математическая логика. Политехнический взгляд,Coursera,Russian,https://www.classcentral.com/course/matematicheskaya-logika-politekhnicheskiy-vzglyad-17860
Combinatorics,Groupes finis : les mathématiques du Rubik's cube,France Université Numerique,French,https://www.classcentral.com/course/france-universite-numerique-groupes-finis-les-mathematiques-du-rubik-s-cube-5373
Number Theory,Preparing for Further Study in Mathematics,FutureLearn,English,https://www.classcentral.com/course/preparing-for-further-study-in-mathematics-102565
Precalculus,,,,https://www.classcentral.com/classroom/youtube-how-to-find-the-area-of-a-triangle-using-matrices-and-determinants-303287
Algebra,Explorando funciones cuadráticas con Python,Coursera,Spanish,https://www.classcentral.com/course/explorando-funciones-cuadraticas-con-python-58224
Geometry,Mathe-MOOC: Mathematisch denken!,iversity,German,https://www.classcentral.com/course/iversity-mathe-mooc-mathematisch-denken-993
Trigonometry,Tabulando funciones trigonométricas con Python,Coursera,Spanish,https://www.classcentral.com/course/tabulando-funciones-trigonometricas-con-python-95167
Discrete Mathematics,Higher Engineering Mathematics,Swayam,English,https://www.classcentral.com/course/swayam-higher-engineering-mathematics-14105
Calculus,Les mathématiques pour l'apprentissage automatique (Français) | Math for Machine Learning (French),AWS Skill Builder,French,https://www.classcentral.com/course/les-mathematiques-pour-lapprentissage-automatique-francais-math-for-machine-learning-french-269073
Foundations of Mathematics,Lógica y usos,Miríadax,Spanish,https://www.classcentral.com/course/miriadax-logica-y-usos-1119
Statistics & Probability,Gehaltsvorhersage mit Linearer Regression in R,Coursera,German,https://www.classcentral.com/course/gehaltsvorhersage-mit-linearer-regression-in-r-94884
View all Health & Medicine,Adobe Photoshop Para Principiantes: Efectos y técnicas,Coursera,Spanish,https://www.classcentral.com/course/adobe-photoshop-para-principiantes-156220
Massage Therapy,"Masaje antiestres, Relajación profunda con Masaje sencillo",Udemy,Spanish,https://www.classcentral.com/course/udemy-curso-de-masaje-relajante-66798
Herbalism,"Natural Products Entrepreneurship: Herbalism, Skincare, Spa+",Udemy,English,https://www.classcentral.com/course/udemy-entrepreneurship-natural-products-159227
Ayurveda,History of Indian Science and Technology,Swayam,English,https://www.classcentral.com/course/swayam-history-of-indian-science-and-technology-23000
View all Information Security (InfoSec),كتابة وقراءة البيانات الملتقطة في الشبكة  باستخدام  tcpdump,Coursera,Arabic,https://www.classcentral.com/course/reading-and-writing-captures-to-a-file-with-tcpdu-89885
View all Information Security (InfoSec),Piratage Ethique : Exécution de code avec Kali,Coursera,French,https://www.classcentral.com/course/piratage-ethique-execution-de-code-avec-kali-102554
View all Information Security (InfoSec),Working with tcpdump Filters,Coursera,Arabic,https://www.classcentral.com/course/aleamal-mae-murashahat-tcpdump-66084
View all Information Security (InfoSec),البدء باستخدام برنامج packet tracer,Coursera,Arabic,https://www.classcentral.com/course/albad-biastikhdam-barnamaj-packet-tracer-94997
View all Information Security (InfoSec),Burp Suite: Introducción a las pruebas de penetración,Coursera,Spanish,https://www.classcentral.com/course/burpsuite-introcuccin-a-las-pruebas-de-penetracin-205796
